sim,success,wind_x,wind_y,wind_z,p0_x,p0_y,p0_z,v0_x,v0_y,v0_z,true_ap,ekf_ap,rmse,rmsex,rmsey,rmsez,target
77,1,0.10849212339894976,3.4534936285877595,0.4139604790414455,0.0,0.0,153.84912397921943,3.6161721747708278,-2.9482856575537477,54.66537235942731,249.96904920188214,249.9780596699108,0.0874301510547953,0.017364575845593627,0.019163732278313875,0.08351798719037748,250.0
78,1,4.508214662116588,4.877737467860243,0.01676330709164242,0.0,0.0,153.97270088010123,-4.867231618847134,1.5544178383054508,51.580882903639676,250.04120452156093,249.95585472249917,0.17281978127234576,0.027403991887645626,0.07057992647155652,0.15535176859924368,250.0
79,1,1.1629771273760348,2.808885190959333,-0.10120667691294893,0.0,0.0,151.26798693202528,2.734215576952489,0.44211794184849307,52.833094353445,249.77243002656047,249.8742660581894,0.13551254773932678,0.017357908662032333,0.03468971204242076,0.12984212521403746,250.0
80,1,-0.3027070454229195,-4.212478100695146,-0.40877484459674496,0.0,0.0,154.86039065997025,-1.9848982938588011,4.90090871961347,51.155268427705074,249.91345943295832,250.06794503050614,0.22984335649560209,0.024417495301165004,0.19312797201538276,0.1222020493838281,250.0
81,1,-3.566781836958597,-1.1142103556321081,-0.49481386748175604,0.0,0.0,152.01456351066906,2.947012404316353,-1.2171517381104247,51.84270967508173,249.8491075508964,250.10194473614172,0.17442015844499026,0.028640248854724985,0.11357591472164583,0.1292386916238955,250.0
82,1,3.0162978977550914,-3.0445742328364087,0.04467184434841687,0.0,0.0,150.26901455819757,-4.973908789258486,-3.7967938895653273,51.86960398418371,249.8825182738989,249.9910424769531,0.19543169641967376,0.14368275623669555,0.10181736290671715,0.08474690635309176,250.0
83,1,3.9260897590642987,-2.573690072200473,0.16637115002289848,0.0,0.0,153.17198879199756,-0.9572436572682141,-1.4783921066953107,54.06778518756372,249.8419538595643,249.76097351787058,0.22137858455288523,0.08952106237972104,0.16264841802284258,0.12058171172989586,250.0
84,1,3.5519929783958,2.062191605624867,-0.34935337496987373,0.0,0.0,153.32221669753787,-1.2249450783658435,0.3579210520203322,53.05130213248587,249.646088443263,249.8267289781686,0.15747000312270062,0.038820547058695254,0.021652554667692638,0.1510659918243996,250.0
85,1,-2.14229840113908,-4.481753788125835,-0.20382630326367757,0.0,0.0,150.9301147024727,1.9916129894048922,-0.7056701166242316,52.81798052444493,249.79632614867754,249.90261377587407,0.12405619320986197,0.027783820558521098,0.05770139722461573,0.10624757478277612,250.0
86,1,3.663690936412298,2.9746571849056958,-0.45329754744356077,0.0,0.0,153.59116206636315,1.16060658647939,1.4513844173393364,50.98409908726525,249.88235242147564,250.02484159102474,0.14561279815491637,0.08316727700751435,0.03512983233373051,0.11424616361989477,250.0
87,1,0.36072316721053,-4.243492847277111,-0.3891886831846766,0.0,0.0,150.66660199153569,0.8710447406251838,2.7187565424876254,54.52086214329173,249.76647627223352,249.91175145807156,0.11470373403799412,0.039726072594123085,0.032929560454183236,0.10244232429420784,250.0
88,1,3.2286541935583575,2.9438594941176435,-0.4483627221391644,0.0,0.0,153.66393118221364,1.3121220365080912,-0.7964709205331699,51.77821427028223,249.96643494766613,249.96963665636352,0.19020262045767736,0.15633334805729923,0.017624031972627026,0.1068939409470454,250.0
89,1,3.4430952289077688,3.1225840842333987,-0.2623173891877286,0.0,0.0,151.61273464051357,0.43618586634116596,-1.2325835825138198,53.123191677249864,249.7971394602516,249.78051373714084,0.18801480625055544,0.15028900959917568,0.03455820056179427,0.10755701621495263,250.0
90,1,-0.048805964158677106,-4.345898184492514,-0.43511530390198827,0.0,0.0,150.6354795476266,4.2157154208954335,-4.950772688279105,51.93985737463675,249.89650608267328,249.90752460173243,0.1344556217553932,0.03169119956533236,0.07808243337481309,0.1047717313496705,250.0
91,1,-4.629384939008804,0.9465551146542257,0.2797885682738299,0.0,0.0,150.37675049936493,-2.774295849123074,2.391124162762676,53.866813801099966,249.82048779052212,249.87958295231383,0.17695754146703335,0.13413137450988155,0.027803679803342016,0.11202544908876717,250.0
92,1,0.3334720899511199,-0.5991691620740962,-0.44031844169502077,0.0,0.0,152.27246515923437,1.1301310960256732,-3.5061332623111263,50.11590135855845,249.7468422875323,249.8792946778123,0.1720403966620657,0.04397133422089895,0.09301803913111883,0.13788424219857956,250.0
93,1,-2.606529504851097,-3.0938273829416554,0.10557261190840472,0.0,0.0,152.48718282940337,3.5363882575419208,3.5769159560323054,52.00687068805125,249.93975915050973,250.0579809955686,0.1979484746355876,0.05876746771807878,0.1668521920312841,0.08882752593040025,250.0
94,1,4.718916359146922,3.940755251855224,0.12287866064960895,0.0,0.0,150.3280552169644,-0.31933912786791563,-0.8603182960523759,50.88380157212122,249.78473302531972,249.79124818774656,0.12422941642646451,0.06852387912312465,0.05784195820562493,0.08597519273905742,250.0
95,1,-4.104814501641689,0.9677283074657534,0.3446803172751335,0.0,0.0,154.19677838693698,-3.727821806144871,-2.323689999598628,54.39304495494963,249.7235324358327,249.71574534810767,0.13211876753602766,0.07492426101665373,0.057910768833862744,0.09213070443352848,250.0
96,1,-3.61653555874756,0.7149714135890219,0.39653060355713843,0.0,0.0,153.71757997496724,2.805594199867522,4.239778190577201,51.64500664646406,249.7288905895443,250.05112030973376,0.19512148525293485,0.07883755343260425,0.029421101678864033,0.17604383815423502,250.0
97,1,-0.6148232372895182,2.363617743282358,-0.3682866350530364,0.0,0.0,151.47960566109265,-1.3935287292070688,1.6046515390150562,54.863530427887525,249.6800397782012,249.8767534754371,0.1707943784069465,0.07159202516458542,0.09785216637816269,0.12029237367077336,250.0
98,1,-3.989910473902457,-3.2704014688353853,0.37345106610236123,0.0,0.0,150.12135192738145,-4.919080458795518,-3.0774331953662717,50.1971189353004,249.6685910288897,249.61511279478526,0.1305079114802016,0.039122343165022604,0.07773188772643612,0.09726001673188765,250.0
99,1,3.530947836312558,0.5908940484243574,-0.22024597299281945,0.0,0.0,150.05576452561246,-2.891348651821364,-0.07428128156476088,51.5852778190828,249.96390929844182,250.07197447870638,0.14466913822338712,0.026581398464321723,0.089781091227689,0.11028120632249096,250.0
100,1,-2.1778090266127537,4.098797462950801,-0.09555306547248754,0.0,0.0,153.6717728785173,-3.1098344262920383,-2.434261005545837,54.795805461222045,249.706395958525,249.8951484776685,0.1847470039962915,0.018094339880913697,0.06167464449415541,0.1732059138031934,250.0
